web-scraper-order,web-scraper-start-url,pagination,item_name,item_price
"1727766930-1","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Men's Quilted Sweatshirts Casual Long Sleeve Stand Collar Quarter Button Pullover Sweatshirt","$30.99"
"1727766930-2","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","TBMPOY Men's Tapered Joggers Workout Athletic Running Sweatpants Slim Fit Drawstring Pants with Pockets","$17.88"
"1727766930-3","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","MAGCOMSEN Men's Sweater Pullover Sweaters Crewneck Plaid Sweater Casual Cotton Sweater Fall Winter Sweater","$32.98"
"1727766930-4","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","COOFANDY Men Mock Neck Button Sweater Casual Knitted Sweaters Fashion Henley Sweater","$34.99"
"1727766930-5","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Nike Performance Cushion Crew Socks with Band (6 Pairs)","$30.99"
"1727766930-6","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","NIKE Plus Cushion Socks (6-Pair)","$28.00"
"1727766930-7","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Dual Defense Ankle Socks (12 Pack)","$21.58"
"1727766930-8","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","adidas Men's Athletic Cushioned Crew Socks with Arch Compression (6 Pairs)","Best Seller"
"1727766930-9","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt","Best Seller"
"1727766930-10","https://www.amazon.com/s?i=specialty-aps&bbn=16225019011&rh=n%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2","","Hanes Men's Double Tough Crew Socks, 12-Pair Pack","Best Seller"
